263	18321,1407
589	588
618	4482,39902
726	1704247
782	26088
786	809
924	683911,921
975	988,12066
1117	597631
1122	1126,1125,11880,1127
1128	20259,6020,28214,6032
1162	42598,9201
1175	920774,237967
1239	61187,85252,85175,54541,6746,41199,917705,41197,27096,79259
1248	85488
1254	28243,38420,1250,10148,26912
1255	23343,41296,28242
1347	6560
1374	1026,24645
1383	597002,596565,597598,1038
1390	15683,8407,2565,23194,1019,8169,524998
1413	1465,27270,1459,1480,27303
1418	596864,2239176
1430	206677
1443	36002
1465	1455
1473	18437,71766,27096
1527	6298,299583,206131,15665
1617	26160,11185,17710
1621	42755,162309,1627,10481,1624,1622,20595,349368,20428,1621895
1624	4551683,596046
1625	1629
1629	376604
1637	28403,22245,178503,28351,25681,14479,41479,39542,31469,14563,178469
1675	597696,596728,596727
1702	30013
1737	13715
1802	18905,20947
1804	23206,18909
1811	872080,597119,23980,699810,231341
1824	27947
1830	85472
1873	37370,282066,13330,7018
1924	36774,36773,24076,22912
1947	284941,12772
1954	20392,17757,20809,43317,2003,16948,20374,43316,22157,17735,1942,17730,24544,17875,31654,22917
1973	33936,238265,392621,556374
1975	1977,175804,25691,596513,596397,1963,1962,17945,597267,2530
1992	17814,24643,17992,16564,966
2007	37982
2028	2032
2032	8155
2062	35983,39763,42672,4259,30350,10463,18606,34414,85241,6864,3753,596128,221793,14699,34417,6644,9262,144576,86709,54849,596925,42528,5372,202474,178705,6812,20737,75193,26814,31923,36442,28040,9170,3541373
2065	596641,39350,14969,25617,33434,597070
2068	596642,32473,2156,15096
2072	25619,294,39350
2073	28210,392206,25033,20823,6463
2074	25723
2092	596057
2156	1204
2211	18595,2210
2331	14050,14049,14046,35866,36636,37170
2346	3536731,16419,8138,596036,26118
2390	15634
2482	30956,597215,41942,50587,16568,50423
2483	30863,18320
2488	17796,41945,51581,3993,3762,597979
2503	39245
2505	597599
2507	39667,19587,596077,17786,26454
2508	11957,597565,596082,8845,596398,596643,66318,20363,32433,39286,2530
2514	19880,220992,2534,31485,751435,154246,4316899,1916,268583,10691,599035,268483,268575,24776,268559
2518	597298
2520	31721,86332,2527,596740,2523,2522,2521,8864,596644,7258,178474,10286,682967,243046,597001,178840
2521	22192,42285,23401
2522	205812,32704,20388,282364,41485,41249,6938,22818,14025,578,33382,178705,31453,19602
2523	29277,24337
2527	30817,54252,1047,19878,10654,25646
2530	59696,37907
2531	19477
2534	18609
2559	11491,1457,2651,50739
2594	29278,41487,1899,2543,4002
2607	2616
2616	578399,2615
2658	25611,115471,11812,13007,379,31447
2668	42058,3459
2763	6644,39763,9170,9950,2658,31890,25810
2771	15846,30873,20740,3420,3419,39736,10526,25376,25605,6949
2844	39601,38148,2860,11185
2845	29995
2854	2844
2871	2874,2896,271901,2892,678199,2888,2878
2874	702159
2878	2881,2880
2881	2939465,340968,13902,37889,2882
2888	268128
2895	238425
2903	2920,2917,2915,2911,2922
2911	4386,2913,2928,2921
2932	25688,40905,14277,39925,2934,18549,31381,22180,22614,28215
2934	9170,33218,23660
2938	8628
2940	18789,917996,3486
2971	596086,202871
2978	31545,920356,596926,16313,2971
3015	14025,6938
3018	3009,3017
3036	596089,48112
3046	564182
3062	920312,3070,969757,21948,3063
3075	596245,7026,5367,220853,71513
3096	23209
3126	162809
3138	74722
3139	597221,6684,597607,102118,1564892,14432,596333,32177,596231,597097,596408,597668,18282,596593,19927,597104,3433,79381,597450,597061,872051,596075,596462,1947,596847,596264,178481
3158	23556
3162	26259
3188	7723
3191	4057
3195	2598,34414,25887,33497,12702,33216
3204	3416,3308,279516,3232,12682,3205,3158,3451,3404
3205	8196
3209	31990,3419,3211,27603,17710
3211	20740,85387,4057,970,27396
3216	28978,8783,34665
3232	42313,3240,3236,3235,3233,4641,54036,35609,35654,1744619,22020,18165,729218,8196,8168,57256,27783,28458,26458
3233	22487,38425,2679,27603,3854019
3234	11015,13089
3235	10572,28741,10592,2679,26408,41286
3236	3234,1259,38432,26254,41385,34145,41286,30896,26234,27597,5740,26933
3240	14806,55856,52796,28951
3241	3242,20960,3250,4358,243020,29122,282682,162594,596731,3445,596114,596115,475463,3251,22144,3248,1624602
3250	78627
3277	17245,24027,8402,286651,37215
3280	43031,1451270,3440,32177
3286	16375,31507,9011,31412,60926,39925,79245,80356,6949
3289	31392,70122,85208,78569,8845,16365,74393,26457,85228,3290
3290	9010,28420,11685,20934,2600
3297	33229,61851
3308	16278,16277,3235,64113,22625,165603,16859
3314	3264,1305430,3313
3315	11306,22801,24432,23005
3320	2092,3333,3331,41361,39115,4359,312558,18593,22145,3339,1291775
3321	596153,32595,596574
3322	54941,245662,108779,108748,108747,220248,3323,74479,75747,75742,54964,54959,108773,54953,85358,243982,54947,108768
3324	3322
3339	3324,34822
3342	596709,19165
3364	65374,51696,28005,19450,9014,42528,39656,2007,12022,126174,25029,11082,28127,60180,26196,288171,20223,32912,4147,3015,36193,8273
3374	34283,8269,34417,33126
3376	597102,3379,25800,45093,16411,135096,85171,1579410
3379	9262
3392	54173,2555,16343,596112,2151,208407,45093,144576,8838,85272,7257,15133,6463,135096,10583,4475,20823,25033,23972,50560,42679,42670,6812,60197,20402,1136012,39902,60389,59985,2260,10927,281603,18606,8163,3236,39871,31990,85176,25677,26259,33223,76080,16360,25241,2583,60103,92801,5525,41964,123931
3402	3255108
3404	3416,3158,165603
3405	86130,6230,23570,5098,3596,13023,31007
3416	26218,25872,3374,34145,15008,38880,41213,2260,30863,26408,165603
3419	4057,970,27396
3424	596116
3440	19134,15982,3438
3445	3450
3448	140575,30125,22487,38425,14964,22209,41286
3451	286536,17066,674432,70895,596925,376637,663655,288165,292818,249458,674428,282519,20811,16343,2403,54849,525005,50175,286079,30863,21742,754188,376565,1367,286738
3459	43342,34650,6358
3467	85380
3469	349231,28768,30319,38436
3493	3486,596118
3522	115137
3578	37315
3591	3595,3593,55966
3620	24977,31447,15827
